ShapeSize,#input,#output,#op,RealNdpxCost
3211264,12,1,21,462040
3211264,5,2,7,826085
14450688,14,1,37,2176629
14450688,7,2,23,4211348
14450688,14,1,37,1782565
14450688,7,2,23,4013773
3211264,12,1,21,402224
3211264,5,2,7,834594
3612672,14,1,37,525473
3612672,7,2,23,1033095
802816,12,1,21,130757
802816,5,2,7,206729
4816896,14,1,37,722394
4816896,7,2,23,1363719
4816896,14,1,37,719120
4816896,7,2,23,1342968
802816,12,1,21,105446
802816,5,2,7,206595
4816896,14,1,37,673813
4816896,7,2,23,1347073
4816896,14,1,37,636136
4816896,7,2,23,1369200
802816,12,1,21,128499
802816,5,2,7,207178
1204224,14,1,37,155261
1204224,7,2,23,333510
401408,12,1,21,45042
401408,5,2,7,101143
2408448,14,1,37,309112
2408448,7,2,23,663347
2408448,14,1,37,453917
2408448,7,2,23,695346
401408,12,1,21,44110
401408,5,2,7,103530
2408448,14,1,37,373592
2408448,7,2,23,686349
2408448,14,1,37,363511
2408448,7,2,23,676923
401408,12,1,21,51887
401408,5,2,7,103134
2408448,14,1,37,413816
2408448,7,2,23,671337
2408448,14,1,37,321504
2408448,7,2,23,683490
401408,12,1,21,51868
401408,5,2,7,103952
640,29,8,42,948
1920,64,19,94,2510
1920,85,22,129,3193
320,81,24,122,2634
1152,64,19,94,2420
192,38,11,54,1424
1152,85,22,129,3302
192,85,22,129,3157
768,29,8,42,1125
768,85,22,129,2793
2408448,14,1,37,315549
2408448,7,2,23,690147
2408448,14,1,37,321901
2408448,7,2,23,665793
602112,12,1,21,77489
602112,5,2,7,156887
3612672,14,1,37,545102
3612672,7,2,23,1022060
3612672,14,1,37,609693
3612672,7,2,23,1010407
602112,12,1,21,69378
602112,5,2,7,151840
3612672,14,1,37,518768
3612672,7,2,23,1000924
3612672,14,1,37,464158
3612672,7,2,23,1007690
602112,12,1,21,83454
602112,5,2,7,153465
903168,14,1,37,114402
903168,7,2,23,245228
250880,12,1,21,27837
250880,5,2,7,63361
1505280,14,1,37,218346
1505280,7,2,23,414140
1505280,14,1,37,253633
1505280,7,2,23,424683
250880,12,1,21,27877
250880,5,2,7,62939
1505280,14,1,37,222806
1505280,7,2,23,420737
1505280,14,1,37,189790
1505280,7,2,23,416796
250880,12,1,21,32452
250880,5,2,7,63113
1505280,14,1,37,227857
1505280,7,2,23,425207
1505280,14,1,37,202695
1505280,7,2,23,422670
501760,12,1,21,66560
501760,5,2,7,130230
2560,29,8,42,1418
32256,2,1,2,4088
32256,1,1,1,1760
40960,1,1,2,2154
2007040,4,2,4,509881
501760,7,1,12,30641
501760,4,2,4,127467
1505280,4,2,4,368540
17280,1,1,1,1089
1505280,4,2,4,377873
250880,8,1,13,17640
250880,4,2,4,61643
1505280,4,2,4,368538
17280,1,1,1,1089
1505280,4,2,4,368407
250880,8,1,13,18578
250880,4,2,4,61432
1505280,4,2,4,383287
17280,1,1,1,1089
1505280,4,2,4,368972
250880,7,1,12,16388
250880,4,2,4,61553
903168,4,2,4,220902
10368,1,1,1,780
3612672,4,2,4,884980
602112,8,1,13,42582
602112,4,2,4,147415
3612672,4,2,4,884003
10368,1,1,1,780
3612672,4,2,4,883512
602112,8,1,13,41233
602112,4,2,4,147618
3612672,4,2,4,918804
10368,1,1,1,780
3612672,4,2,4,885525
602112,7,1,12,39903
602112,4,2,4,151827
2408448,4,2,4,589131
6912,1,1,1,621
2408448,4,2,4,589578
401408,8,1,13,30186
401408,4,2,4,102234
2408448,4,2,4,590059
6912,1,1,1,621
2408448,4,2,4,589390
401408,8,1,13,32539
401408,4,2,4,100709
2408448,4,2,4,611930
6912,1,1,1,621
2408448,4,2,4,606629
401408,8,1,13,32598
401408,4,2,4,98387
2408448,4,2,4,589731
6912,1,1,1,619
2408448,4,2,4,602324
401408,7,1,12,24669
401408,4,2,4,98673
1204224,4,2,4,295141
3456,1,1,1,468
4816896,4,2,4,1179589
802816,8,1,13,60781
802816,4,2,4,196430
4816896,4,2,4,1210929
3456,1,1,1,468
4816896,4,2,4,1179423
802816,8,1,13,57772
802816,4,2,4,196524
4816896,4,2,4,1178229
3456,1,1,1,468
4816896,4,2,4,1177617
802816,7,1,12,49827
802816,4,2,4,196492
3612672,4,2,4,914919
2592,1,1,1,428
14450688,4,2,4,3537223
3211264,8,1,13,244283
3211264,4,2,4,787678
14450688,4,2,4,3617648
2592,1,1,1,428
14450688,4,2,4,3537156
3211264,7,1,12,202506
3211264,4,2,4,785425
9633792,4,2,4,2358924
1728,1,1,1,392
38535168,4,2,4,9432400
6422528,7,1,12,370011
6422528,4,2,4,1572192
12845056,4,2,4,3144315
576,1,1,1,340
12845056,4,2,4,3145686
1024,1,1,1,340
3072,1,1,1,449
6144,1,1,1,587
6912,1,1,1,621
9216,1,1,1,725
6912,1,1,1,621
9216,1,1,1,725
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
24576,1,1,1,1415
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
73728,1,1,1,3623
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
184320,1,1,1,8591
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
614400,1,1,1,27911
819200,1,1,1,37112
819200,1,1,1,37114
614400,1,1,1,27911
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
184320,1,1,1,8591
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
73728,1,1,1,3623
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
24576,1,1,1,1415
12288,1,1,1,863
12288,1,1,1,862
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
9216,1,1,1,725
6912,1,1,1,621
9216,1,1,1,725
6912,1,1,1,619
6144,1,1,1,571
3072,1,1,1,449
1024,1,1,1,340
819200,10,3,15,132059
49152,37,12,54,31026
110592,37,12,54,71645
73728,10,3,15,11801
110592,28,9,41,53573
165888,28,9,41,79978
110592,19,6,28,35402
184320,10,3,15,29662
307200,28,9,41,148958
276480,28,9,41,133836
307200,19,6,28,99441
614400,10,3,15,99252
3072,10,3,15,866
27648,10,3,15,4350
6144,10,3,15,1162
6912,19,6,28,2172
41472,19,6,28,14017
9216,10,3,15,1551
9216,10,3,15,1585
12288,28,9,41,5525
55296,28,9,41,26322
12288,19,6,28,3778
24576,10,3,15,3874
49152,28,9,41,23291
1728,10,3,15,763
9216,10,3,15,1551
1024,10,3,15,723
32,1,1,1,334
32,1,1,1,335
2580480,1,1,1,116751
32,2,1,1,364
250880,2,1,1,11591
250880,2,1,1,11591
602112,2,1,1,27394
602112,2,1,1,31987
401408,2,1,1,18352
401408,2,1,1,18353
401408,2,1,1,18353
802816,2,1,1,36392
802816,2,1,1,36389
3211264,2,1,1,144592
32,3,1,8,388
32,3,1,9,416
32256,2,1,4,3971
32256,3,4,8,9593
2580480,7,3,14,417150
2016,7,3,17,801
32,9,8,38,765
12845056,8,1,36,2664000
12845056,5,2,23,3739837
12845056,8,1,36,1804743
12845056,5,2,23,3605335
6422528,6,1,20,468363
6422528,4,2,7,1576944
768,39,23,120,2034
128,23,22,124,1993
384,27,19,90,1641
64,12,11,50,1036
384,32,22,126,2303
64,23,22,122,1965
288,35,22,125,2369
64,14,16,75,1258
9633792,8,1,36,1181209
9633792,5,2,23,2584754
3211264,6,1,20,278605
3211264,4,2,7,804557
14450688,9,1,37,1832021
14450688,5,2,23,4008697
14450688,9,1,37,1404488
14450688,5,2,23,3845529
3211264,7,1,21,313395
3211264,4,2,7,813850
3612672,8,1,36,424559
3612672,5,2,23,994455
802816,7,1,20,88208
802816,4,2,7,200454
4816896,8,1,36,552230
4816896,5,2,23,1305999
4816896,9,1,37,567042
4816896,5,2,23,1285206
802816,5,1,20,60321
802816,3,2,7,196983
4816896,9,1,37,556745
4816896,5,2,23,1284768
4816896,8,1,37,515179
4816896,5,2,23,1299591
802816,6,1,20,74349
802816,4,2,7,200739
1204224,8,1,37,116570
1204224,5,2,23,318837
401408,7,1,20,33512
401408,4,2,7,99005
2408448,9,1,37,255031
2408448,5,2,23,637235
2408448,9,1,37,342649
2408448,5,2,23,658942
401408,7,1,21,33386
401408,3,2,7,98542
2408448,9,1,37,298630
2408448,5,2,23,658673
2408448,9,1,37,305161
2408448,5,2,23,648543
401408,6,1,20,36944
401408,4,2,7,100226
2408448,9,1,37,303871
2408448,5,2,23,643826
2408448,9,1,37,267577
2408448,5,2,23,648381
401408,6,1,20,36467
401408,4,2,7,101068
640,15,8,40,851
1920,31,19,91,2134
1920,40,22,128,2510
320,32,24,117,2010
1152,31,19,91,1958
192,13,11,50,1089
1152,40,22,128,2420
192,31,22,123,2155
768,15,8,40,975
768,40,22,128,2296
2408448,9,1,37,262378
2408448,5,2,23,654022
2408448,9,1,37,260549
2408448,5,2,23,636517
602112,8,1,21,63479
602112,4,2,7,152039
3612672,9,1,37,431755
3612672,5,2,23,971267
3612672,9,1,37,487298
3612672,5,2,23,966137
602112,6,1,20,47395
602112,4,2,7,147888
3612672,9,1,37,422522
3612672,5,2,23,955384
3612672,9,1,37,377080
3612672,5,2,23,966169
602112,7,1,20,60663
602112,4,2,7,149033
903168,9,1,37,85755
903168,5,2,23,234347
250880,7,1,21,18973
250880,4,2,7,61808
1505280,9,1,37,181424
1505280,5,2,23,396455
1505280,9,1,37,192460
1505280,5,2,23,404463
250880,7,1,20,19641
250880,4,2,7,61388
1505280,9,1,37,176300
1505280,5,2,23,402088
1505280,9,1,37,157679
1505280,5,2,23,399498
250880,7,1,21,23841
250880,4,2,7,61408
1505280,9,1,37,178637
1505280,5,2,23,405446
1505280,9,1,37,159723
1505280,5,2,23,402051
501760,8,1,21,52780
501760,4,2,7,126590
2560,15,8,40,1332
32256,2,1,2,4088
32256,1,1,1,1759
40960,1,1,2,2155
2007040,2,2,4,485603
501760,6,1,12,29426
501760,2,2,4,121302
1505280,2,2,4,360948
17280,1,1,1,1089
1505280,2,2,4,362645
250880,7,1,13,16232
250880,2,2,4,60115
1505280,2,2,4,360851
17280,1,1,1,1089
1505280,2,2,4,360855
250880,5,1,12,14837
250880,2,2,4,60113
1505280,2,2,4,364174
17280,1,1,1,1089
1505280,2,2,4,360940
250880,5,1,12,14445
250880,2,2,4,60135
903168,2,2,4,216638
10368,1,1,1,780
3612672,2,2,4,865788
602112,6,1,12,36015
602112,2,2,4,144234
3612672,2,2,4,865942
10368,1,1,1,780
3612672,2,2,4,865988
602112,5,1,12,34590
602112,2,2,4,144239
3612672,2,2,4,873379
10368,1,1,1,780
3612672,2,2,4,866016
602112,6,1,12,37509
602112,2,2,4,144962
2408448,2,2,4,577387
6912,1,1,1,621
2408448,2,2,4,577574
401408,5,1,12,23539
401408,2,2,4,97275
2408448,2,2,4,577525
6912,1,1,1,621
2408448,2,2,4,577392
401408,5,1,12,25172
401408,2,2,4,96764
2408448,2,2,4,582379
6912,1,1,1,619
2408448,2,2,4,580463
401408,6,1,13,25746
401408,2,2,4,96233
2408448,2,2,4,577496
6912,1,1,1,621
2408448,2,2,4,579985
401408,4,1,11,22087
401408,2,2,4,96207
1204224,2,2,4,288665
3456,1,1,1,468
4816896,2,2,4,1154587
802816,5,1,12,46732
802816,2,2,4,192362
4816896,2,2,4,1158051
3456,1,1,1,471
4816896,2,2,4,1154858
802816,5,1,12,45758
802816,2,2,4,192395
4816896,2,2,4,1154725
3456,1,1,1,468
4816896,2,2,4,1154815
802816,5,1,11,44964
802816,2,2,4,192422
3612672,2,2,4,872910
2592,1,1,1,428
14450688,2,2,4,3463700
3211264,6,1,13,197345
3211264,2,2,4,769623
14450688,2,2,4,3475132
2592,1,1,1,428
14450688,2,2,4,3464005
3211264,4,1,11,178537
3211264,2,2,4,769663
9633792,2,2,4,2309157
1728,1,1,1,391
38535168,2,2,4,9237342
6422528,4,1,11,350629
6422528,2,2,4,1539412
12845056,2,2,4,3079177
576,1,1,1,340
12845056,2,2,4,3079118
1024,1,1,1,340
3072,1,1,1,449
6144,1,1,1,587
6912,1,1,1,621
9216,1,1,1,725
6912,1,1,1,620
9216,1,1,1,725
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
24576,1,1,1,1415
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
73728,1,1,1,3623
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
