ShapeSize,#input,#output,#op,RealNdpxCost
98304,7,3,13,27057
12288,6,0,8,1044
12288,6,0,8,1013
98304,7,3,13,28254
12288,6,0,8,1031
12288,6,0,8,1119
98304,7,3,13,28620
12288,6,0,8,982
98304,7,3,13,27057
12288,6,0,8,1044
98304,7,3,13,26815
12288,6,0,8,1089
2818048,2,1,1,151676
3014656,3,1,2,159354
3014656,3,1,2,161757
2818048,3,1,2,152014
2818048,3,1,2,152359
3014656,3,1,2,161760
2818048,3,1,2,150964
2818048,3,1,2,150499
1884160,7,3,13,304311
3145728,1,1,1,141643
3145728,1,1,1,141745
3145728,1,1,1,141643
3145728,1,1,1,141745
512,27,18,73,1130
6291456,6,5,10,4007986
6291456,5,4,8,3087633
1572864,6,5,10,967761
6291456,4,3,6,2397894
1572864,4,3,6,579519
1572864,3,2,4,385381
1572864,3,2,4,401801
24576,2,1,1,3220
1572864,4,1,3,87032
32768,10,1,20,4644
1572864,4,1,4,225549
1572864,4,1,4,216776
46881792,12,3,14,7584159
1572864,4,1,4,224254
24576,2,1,1,3298
1572864,4,1,4,224706
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3220
1572864,4,1,4,243623
1572864,4,1,3,86590
1572864,4,1,4,224849
1572864,4,1,4,224832
1572864,4,1,4,245380
1572864,4,1,4,224945
64,3,1,4,361
1572864,4,1,3,86997
1572864,4,1,3,87029
1572864,4,1,4,246853
1536,4,1,6,530
1572864,4,1,4,216069
1572864,4,1,4,216824
1572864,4,1,3,87079
1572864,4,1,4,223751
1572864,4,1,4,216279
1572864,4,1,3,86825
1572864,4,1,4,223831
1572864,4,1,3,86949
1572864,4,1,4,215468
1572864,4,1,4,224164
24576,2,1,1,3220
1572864,4,1,4,220226
24576,2,1,1,3222
24576,2,1,1,3220
24576,2,1,1,3222
24576,2,1,1,3298
24576,2,1,1,3222
24576,2,1,1,3220
24576,2,1,1,3222
1572864,4,1,3,87094
1572864,4,1,4,223526
24576,2,1,1,3221
1572864,4,1,3,87021
1572864,4,1,4,218773
1572864,4,1,4,215706
1572864,4,1,3,87238
1572864,4,1,3,86670
1572864,4,1,4,216304
64,3,1,5,391
1572864,4,1,4,216945
24576,2,1,1,3222
24576,2,1,1,3222
24576,2,1,1,3222
24576,2,1,1,3286
24576,2,1,1,3222
24576,2,1,1,3220
24576,2,1,1,3222
24576,2,1,1,3221
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3222
24576,2,1,1,3222
24576,2,1,1,3220
24576,2,1,1,3222
24576,2,1,1,3222
233472,1,1,1,10800
6291456,11,1,26,800196
12582912,4,1,15,723204
12582912,4,1,15,721133
12582912,5,1,16,808476
12582912,5,1,16,809112
6291456,11,1,26,861211
1572864,2,1,11,81918
1572864,2,1,11,82185
4718592,73,24,106,6293213
6291456,11,1,26,867616
12582912,5,1,16,808703
12582912,4,1,15,720631
4718592,73,24,106,6164424
1572864,2,1,11,83010
1572864,2,1,11,82385
12582912,4,1,15,779060
6291456,11,1,26,800186
12582912,5,1,16,751926
6291456,11,1,26,800122
6291456,11,1,26,800583
12582912,4,1,15,724188
1572864,2,1,11,83444
6291456,11,1,26,843932
1572864,2,1,11,82304
12582912,4,1,15,720372
1572864,2,1,11,83511
12582912,5,1,16,809711
12582912,4,1,15,722170
12582912,5,1,16,810012
12582912,5,1,16,754430
6291456,11,1,26,841313
1572864,7,1,23,158760
6291456,4,1,15,359204
6291456,4,1,15,363877
1572864,2,1,11,83612
12582912,4,1,15,723179
12582912,5,1,16,745263
6291456,11,1,26,834029
